bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02
27PX12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K275KG/CM2-NORM-SL12-G25
30FD12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA10-SL12-G25
30FI12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA15-SL12-G25
30FN10A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA-SL10-G25
30FN12A06R1X,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA-G25-R1
30FN12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA-SL12-G25
30FN12C06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA-SL12-G14
30FU12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA-SL12-G25
30MD12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-FA10-SL12-G25
30MI05A06M5X,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,MAX 5,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-FA15-SLMAX05-G25
30MI05C06M5X,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,MAX 5,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-FA15-SLMAX05-G14
30MI12A06GAP,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-FA15-SL12-G25
30MN12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-FA-SL12-G25
30MX10A06A3D,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-NORM-G25-A3D
30MX10A06A7D,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,10+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-NORM-G25-A7D
30PX08C06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-NORM-SL08-G14
30PX12A06A7D,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-NORM-G25-A7D
30PX12A06R1X,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-NORM-G25-R1
30PX12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-NORM-SL12-G25
30PX12C06R1X,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-NORM-G14-R1
32MI12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC32MPA-FA15-SL12-G25
32MX12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC32MPA-NORM-SL12-G25
35BX18A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-NORM-SL18-G25
35FI08A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-FA15-SL08-G25
35FI12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-FA15-SL12-G25
35FN12A06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-FA-SL12-G25
35MI12A06GAP,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,12+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC35MPA-FA15-SL12-G25
35PX05C06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,5+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-NORM-SL05-G14
35PX08C06XXX,,,,7/7/2022 0:00,8401065,IDCGHO0320,8401065,7/7/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,8+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-NORM-SL08-G14
