bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,SBT CON-M,
BC25XXA06JOR,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,BASECOURSEA,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=BC25XXA06JOR
BC25XXA11XXX,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,AGGREGATEBASEA,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=BC25XXA11XXX
DECOC0206K25,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K250KG/CM2-COLOR BLACK,1.02,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=DECOC0206K25
DECOC0206K35,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K350KG/CM2-COLOR BLACK,1.197,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=DECOC0206K35
DECOC0406K25,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K250KG/CM2-COLOR GREEN,1.092,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=DECOC0406K25
QUADROP,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,QUADROP,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=QUADROP
SC13XXS06XXX,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,SCREED1-3,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=SC13XXS06XXX
SC16XXS06XXX,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,SCREED1-6,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=SC16XXS06XXX
VCTB,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,CTB175-NORM-NSL-G40,0.471,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VCTB
VIPER08,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,OPENTRAFFIC8HOURS,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER08
VIPER24,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,OPENTRAFFIC24HOURS ,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER24
VIPER300-5D,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K300KG/CM2-OPENTRAFFIC5DAYS,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER300-5D
VIPER350-12,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,K350KG/CM2-OPENTRAFFIC12HOURS,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER350-12
VIPER350-1D,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,K350KG/CM2-OPENTRAFFIC1DAY,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER350-1D
VIPER3D,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,OPENTRAFFIC3DAY,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER3D
VIPER400-08,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,K400KG/CM2-OPENTRAFFIC8HOURS,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER400-08
VIPER450-1D,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,K450KG/CM2-OPENTRAFFIC1DAY,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER450-1D
VIPER45-03,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,FS45KG/CM2-OPENTRAFFIC3HOURS,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER45-03
VIPER45-06,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,FS45KG/CM2-OPENTRAFFIC6HOURS,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER45-06
VIPER45-06C,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,FS45KG/CM2-OPENTRAFFIC6HOURS-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER45-06C
VIPER45-1D,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,FS45KG/CM2-OPENTRAFFIC1DAY,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER45-1D
VIPER45-1DC,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,FS45KG/CM2-OPENTRAFFIC1DAY-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER45-1DC
VIPER45-28D,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FS45KG/CM2-OPENTRAFFIC28DAYS,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER45-28D
VIPER45-3D,,,,,,,,,,R01JAT-801,,,,,,,,MIN 12,,,,,,,,,,,,,,,,FS45KG/CM2-OPENTRAFFIC3DAYS,1.35,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER45-3D
VIPER500-2D,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,K500KG/CM2-OPENTRAFFIC2DAYS,0.9,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=VIPER500-2D
