bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,
25PX12A06WHM,,0000-100093,,,140,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,25PX12A06WHMSTONE DUST,,,,,,,
25PX12A06WHM,,0002-100020,,,1.17,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,25PX12A06WHMSBT CON-M,25PX12A06WHMFA,0,25PX12A06WHMSEMEN,390,390,0.30%,1.17
25PX12A06WHM,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,25PX12A06WHMSBT PCA-8S,,,,,,,
25PX12A06WHM,,0002-100202,,,2.923,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,25PX12A06WHMSBT JM-9,,,,,,,
30FD12A06WTT,,0000-000015,,,80,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30FD12A06WTTFA,,,,,,,
30FD12A06WTT,,0000-100011,,,320,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30FD12A06WTTSEMEN,,,,,,,
30FD12A06WTT,,0000-100030,,,175,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30FD12A06WTTWATER,,,,,,,
30FD12A06WTT,,0000-100090,,,309,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30FD12A06WTTAGG1,,,,,,,
30FD12A06WTT,,0000-100091,,,722,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30FD12A06WTTAGG2,,,,,,,
30FD12A06WTT,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30FD12A06WTTAGG3,,,,,,,
30FD12A06WTT,,0000-100094,,,579,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30FD12A06WTTSAND,,,,,,,
30FD12A06WTT,,0000-100093,,,145,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30FD12A06WTTSTONE DUST,,,,,,,
30FD12A06WTT,,0002-100020,,,1.2,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30FD12A06WTTSBT CON-M,30FD12A06WTTFA,80,30FD12A06WTTSEMEN,320,400,0.30%,1.2
30FD12A06WTT,,0002-100021,,,2,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30FD12A06WTTSBT PCA-8S,,,,,,,
30FD12A06WTT,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30FD12A06WTTSBT JM-9,,,,,,,
30FI12A06GEL,,0000-000015,,,57,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30FI12A06GELFA,,,,,,,
30FI12A06GEL,,0000-100011,,,321,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30FI12A06GELSEMEN,,,,,,,
30FI12A06GEL,,0000-100030,,,170,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30FI12A06GELWATER,,,,,,,
30FI12A06GEL,,0000-100090,,,300,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30FI12A06GELAGG1,,,,,,,
30FI12A06GEL,,0000-100091,,,700,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30FI12A06GELAGG2,,,,,,,
30FI12A06GEL,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30FI12A06GELAGG3,,,,,,,
30FI12A06GEL,,0000-100094,,,631,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30FI12A06GELSAND,,,,,,,
30FI12A06GEL,,0000-100093,,,158,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30FI12A06GELSTONE DUST,,,,,,,
30FI12A06GEL,,0002-100020,,,1.134,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30FI12A06GELSBT CON-M,30FI12A06GELFA,57,30FI12A06GELSEMEN,321,378,0.30%,1.134
30FI12A06GEL,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30FI12A06GELSBT PCA-8S,,,,,,,
30FI12A06GEL,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30FI12A06GELSBT JM-9,,,,,,,
30MI06C06TMI,,0000-000015,,,56,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30MI06C06TMIFA,,,,,,,
30MI06C06TMI,,0000-100011,,,318,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30MI06C06TMISEMEN,,,,,,,
30MI06C06TMI,,0000-100030,,,175,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30MI06C06TMIWATER,,,,,,,
30MI06C06TMI,,0000-100090,,,1025,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30MI06C06TMIAGG1,,,,,,,
30MI06C06TMI,,0000-100091,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30MI06C06TMIAGG2,,,,,,,
30MI06C06TMI,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30MI06C06TMIAGG3,,,,,,,
